text,character,gender,diagAct_^q,diagAct_ad,"diagAct_fo_o_fw_""_by_bc",diagAct_othr,diagAct_qw,diagAct_qy,diagAct_qy^d,diagAct_sd,diagAct_sv,text_norm,token_text_norm,F-Measure,tf1,tf2,tf3,tf4,tf5,tf6
Someone had fun.,SEAN,male,0,0,0,0,0,0,0,1,0,someone had fun.,someon fun,50.0,0.008708133590551203,0.0031497042702764316,0.0,0.0,0.0,0.0
"It's no problem, honestly. Go on, go and open the launderette.  Leave it with me.",SHIRLEY,female,0,1,0,0,0,0,0,0,0,it's no problem honestly go on go and open the launderette leave it with me.,problem honestli open launderett leav,55.88235294117647,0.005825734048933177,0.001405527842628664,0.004028643081732515,0.000905578345380476,0.011086611703919488,0.0
Last night was better than ever. What's all this?  Anything interesting?,MAX,male,0,0,0,0,0,1,0,0,0,last night was better than ever what's all this anything interesting?,last night better ever what anyth interest,57.69230769230769,0.010808910381181362,0.014853592493189067,0.010808910381181362,0.007071642052729129,0.015701111576079063,0.011971451900301546
Have you checked the answerphone?  Any calls?,IAN,male,0,0,0,0,0,1,0,0,0,have you checked the answerphone any calls?,check answerphon call,62.5,0.004123145638695394,0.00018732762516306437,0.01038724999142493,0.0,0.0,0.0
Oscar's asleep.,MAX,male,0,0,0,1,0,0,0,0,0,oscar's asleep.,oscar asleep,50.0,0.004495660958245056,0.0010345880915742988,0.0,0.0,0.0,0.0
Dead Arm? What's Dead Arm?,MINTY,male,0,0,0,1,0,0,0,0,0,dead arm what's dead arm?,dead arm what dead arm,50.0,0.0028435595125313236,0.0020960816727933498,0.015701111576079063,0.0028435595125313236,0.0020960816727933498,0.0
Rox...,RONNIE,female,0,0,0,0,1,0,0,0,0,rox...,rox,50.0,0.0022061507347061818,0.0,0.0,0.0,0.0,0.0
"Oh no, I wouldn't do that. Here's the menu. Should be perfectly within your capabilities.",IAN,male,0,0,0,0,0,0,0,1,0,oh no i wouldn't do that here's the menu should be perfectly within your capabilities.,wouldnt here menu perfectli within capabl,55.55555555555556,0.008783402101905214,0.0011606858776236348,0.0010345880915742988,0.0010345880915742988,0.00034649399001938875,0.00034649399001938875
I think I've got someone in line already.,RONNIE,female,0,0,0,0,0,0,0,1,0,i think i've got someone in line already.,think ive got someon line alreadi,50.0,0.027802028829176397,0.024392513662882673,0.03322426254662723,0.008708133590551203,0.002422768449630871,0.005480271394358179
Like drinking yourself to death?,SEAN,male,0,0,0,0,0,1,0,0,0,like drinking yourself to death?,like drink death,50.0,0.03272488540915419,0.010316358460325652,0.0010345880915742988,0.0,0.0,0.0
"You trying to kiss me doesn't change anything.Now if you don't mind, I've gotta go and get ready.  So are you going to get out of my face or what?",STACEY,female,0,0,0,0,0,1,0,0,0,you trying to kiss me doesn't change anything.now if you don't mind i've gotta go and get ready so are you going to get out of my face or what?,tri kiss doesnt chang anyth dont mind ive gotta get readi go get face,50.0,0.012171995883986457,0.002529443082189928,0.008174860487637759,0.005039410038007628,0.011971451900301546,0.04393963539615712
"Well as long as the Queen likes it. That's the important thing.  I tell you what, your sister'll read you a story, won't you Lucy?  I'm going to the chippy to cash up.",IAN,male,0,0,0,0,0,0,0,0,1,well as long as the queen likes it that's the important thing i tell you what your sister'll read you a story won't you lucy i'm going to the chippy to cash up.,well long queen like that import thing tell sisterl read stori wont luci go chippi cash,56.578947368421055,0.03711648914813025,0.007312482622971659,0.0027397923926293457,0.03272488540915419,0.02615596622686448,0.0033498370777084747
You know I've been thinking.    You might be better off working in the Chippy.,JANE,female,0,0,0,0,0,0,1,0,0,you know i've been thinking you might be better off working in the chippy.,know ive think might better work chippi,53.125,0.0408207989633029,0.024392513662882673,0.027802028829176397,0.011155624115322562,0.010808910381181362,0.012961380247110244
I ain't the one who's been telling porkies. Who d'ya get to write that statement for ya?  Mickey Mouse?,PHIL,male,0,0,0,0,1,0,0,0,0,i ain't the one who's been telling porkies who d'ya get to write that statement for ya mickey mouse?,aint one who tell porki dya get write statement mickey mous,54.54545454545455,0.019173070391955354,0.020348830864374116,0.004217083843755337,0.018349659845499564,0.00034649399001938875,0.00018732762516306437
,SEAN,male,0,0,0,0,1,0,0,0,0,nan,nan,50.0,0.0053051796490500265,0.0,0.0,0.0,0.0,0.0
