text,character,text_norm,token_text_norm,POS,POS_tagged,f_measure,word_count,length,diag_act,LE_C,TS,mispelled
Someone had fun.,SEAN,someone had fun .,someone fun,NN VBD NN .,Someone_NN had_VBD fun_NN ._.,66.66666666666666,3,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
"It's no problem, honestly. Go on, go and open the launderette.  Leave it with me.",SHIRLEY,"it 's no problem , honestly . go on , go and open the launderette . leave it with me .",problem honestly go go open launderette leave,"PRP VBZ DT NN , RB . VB IN , VB CC VB DT NN . VB PRP IN PRP .","It_PRP 's_VBZ no_DT problem_NN ,_, honestly_RB ._. Go_VB on_IN ,_, go_VB and_CC open_VB the_DT launderette_NN ._. Leave_VB it_PRP with_IN me_PRP ._.",40.625,16,81,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",15,3.0,0
Last night was better than ever. What's all this?  Anything interesting?,MAX,last night was better than ever . what 's all this ? anything interesting ?,last night well ever whats anything interesting,JJ NN VBD RBR IN RB . WP VBZ DT DT . VBG JJ .,Last_JJ night_NN was_VBD better_RBR than_IN ever_RB ._. What_WP 's_VBZ all_DT this_DT ?_. Anything_VBG interesting_JJ ?_.,50.0,12,72,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",11,8.0,0
Have you checked the answerphone?  Any calls?,IAN,have you checked the answerphone ? any calls ?,checked answerphone call,VBP PRP VBN DT NN . DT NNS .,Have_VBP you_PRP checked_VBN the_DT answerphone_NN ?_. Any_DT calls_NNS ?_.,57.14285714285714,7,45,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",7,4.0,0
Oscar's asleep.,MAX,oscar 's asleep .,oscar asleep,NNP POS NN .,Oscar_NNP 's_POS asleep_NN ._.,83.33333333333333,3,15,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
Dead Arm? What's Dead Arm?,MINTY,dead arm ? what 's dead arm ?,dead arm whats dead arm,JJ NNP . WP VBZ JJ NNP .,Dead_JJ Arm_NNP ?_. What_WP 's_VBZ Dead_JJ Arm_NNP ?_.,66.66666666666666,6,26,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",5,2.0,0
Rox...,RONNIE,rox ...,rox,NNP . . .,Rox_NNP ._. ._. ._.,100.0,1,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,1
"Oh no, I wouldn't do that. Here's the menu. Should be perfectly within your capabilities.",IAN,"oh no , i would n't do that . here 's the menu . should be perfectly within your capabilities .",oh wouldnt here menu perfectly within capability,"UH DT , PRP MD RB VB DT . RB VBZ DT NN . MD VB RB IN PRP$ NNS .","Oh_UH no_DT ,_, I_PRP would_MD n't_RB do_VB that_DT ._. Here_RB 's_VBZ the_DT menu_NN ._. Should_MD be_VB perfectly_RB within_IN your_PRP$ capabilities_NNS ._.",41.17647058823529,17,89,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",15,5.0,1
I think I've got someone in line already.,RONNIE,i think i 've got someone in line already .,think ive got someone line already,PRP VBP PRP VBP VBN NN IN NN RB .,I_PRP think_VBP I_PRP 've_VBP got_VBN someone_NN in_IN line_NN already_RB ._.,33.333333333333336,9,41,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",8,3.0,0
Like drinking yourself to death?,SEAN,like drinking yourself to death ?,like drinking death,IN VBG PRP TO NN .,Like_IN drinking_VBG yourself_PRP to_TO death_NN ?_.,50.0,5,32,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",5,2.0,0
"You trying to kiss me doesn't change anything.Now if you don't mind, I've gotta go and get ready.  So are you going to get out of my face or what?",STACEY,"you trying to kiss me does n't change anything.now if you do n't mind , i 've got ta go and get ready . so are you going to get out of my face or what ?",trying kiss doesnt change anything dont mind ive gotta go get ready going get face,"PRP VBG TO VB PRP VBZ RB VB NN . RB IN PRP VBP RB VB , PRP VBP VBN JJ NN CC VB JJ . CC VBP PRP VBG TO VB IN IN PRP$ NN CC WP .","You_PRP trying_VBG to_TO kiss_VB me_PRP does_VBZ n't_RB change_VB anything_NN ._. Now_RB if_IN you_PRP do_VBP n't_RB mind_VB ,_, I_PRP 've_VBP got_VBN ta_JJ go_NN and_CC get_VB ready_JJ ._. So_CC are_VBP you_PRP going_VBG to_TO get_VB out_IN of_IN my_PRP$ face_NN or_CC what_WP ?_.",30.0,35,146,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",30,7.0,1
"Well as long as the Queen likes it. That's the important thing.  I tell you what, your sister'll read you a story, won't you Lucy?  I'm going to the chippy to cash up.",IAN,"well as long as the queen likes it . that 's the important thing . i tell you what , your sister 'll read you a story , wo n't you lucy ? i 'm going to the chippy to cash up .",well long queen like thats important thing tell sisterll read story wont lucy im going chippy cash,"RB RB RB IN DT NNP VBZ PRP . DT VBZ DT JJ NN . PRP VBP PRP WP , PRP$ JJ MD VB PRP DT NN , MD RB PRP VB . PRP VBP VBG TO DT JJ TO NN RP .","Well_RB as_RB long_RB as_IN the_DT Queen_NNP likes_VBZ it_PRP ._. That_DT 's_VBZ the_DT important_JJ thing_NN ._. I_PRP tell_VBP you_PRP what_WP ,_, your_PRP$ sister_JJ 'll_MD read_VB you_PRP a_DT story_NN ,_, wo_MD n't_RB you_PRP Lucy_VB ?_. I_PRP 'm_VBP going_VBG to_TO the_DT chippy_JJ to_TO cash_NN up_RP ._.",41.89189189189189,37,167,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",33,6.0,0
You know I've been thinking.    You might be better off working in the Chippy.,JANE,you know i 've been thinking . you might be better off working in the chippy .,know ive thinking might well working chippy,PRP VBP PRP VBP VBN VBG . PRP MD VB JJR RP VBG IN DT NNP .,You_PRP know_VBP I_PRP 've_VBP been_VBN thinking_VBG ._. You_PRP might_MD be_VB better_JJR off_RP working_VBG in_IN the_DT Chippy_NNP ._.,33.333333333333336,15,78,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",14,8.0,0
I ain't the one who's been telling porkies. Who d'ya get to write that statement for ya?  Mickey Mouse?,PHIL,i ai n't the one who 's been telling porkies . who d'ya get to write that statement for ya ? mickey mouse ?,aint one who telling porkies dya get write statement ya mickey mouse,PRP VBP RB DT NN WP VBZ VBN VBG NNS . WP VBP VB TO VB DT NN IN NN . NNP NNP .,I_PRP ai_VBP n't_RB the_DT one_NN who_WP 's_VBZ been_VBN telling_VBG porkies_NNS ._. Who_WP d'ya_VBP get_VB to_TO write_VB that_DT statement_NN for_IN ya_NN ?_. Mickey_NNP Mouse_NNP ?_.,45.23809523809524,22,103,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",19,4.0,0
,SEAN,nan,nan,NN,nan_NN,100.0,1,3,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
