id,tweet,subtask_a,subtask_b,subtask_c
86426,she should ask a few native americans what their take on this is,OFF,UNT,
90194,go home you are drunk maga trump oncoming fist united states oncoming fist,OFF,TIN,IND
16820,amazon is investigating chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace amazon maga kag china tcot,NOT,,
62688,someone should vetaken this piece of shit to a volcano face with tears of joy,OFF,UNT,
43605,obama wanted liberals amp illegals to move into red states,NOT,,
97670,liberals are all kookoo,OFF,TIN,OTH
77444,oh noes tough shit,OFF,UNT,
52415,was literally just talking about this lol all mass shootings like that have been set ups it is propaganda used to divide us on major issues like gun control and terrorism,OFF,TIN,GRP
45157,buy more ice cream,NOT,,
13384,canada does not need another cuck we already have enough looney left liberals f* king up our great country q proofs trudeau must go,OFF,TIN,IND
82776,it is not my fault you support gun control,NOT,,
42992,what is the difference between kavanaugh and one of these men admitted to groping a year old girl years ago the other is going to be confirmed to the scj dems are frauds dems are d one walk away democrats redwave votered save america trump train maga,NOT,,
28414,you are a lying corrupt traitor nobody wants to hear any more of your lies deep state corruption,OFF,TIN,IND
54920,it should scare every american she is playing hockey with a warped puck,NOT,,
56392,i like my soda like i like my boarders with a lot of ice,NOT,,
86735,you are also the king of taste,NOT,,
95686,maga musical notes sing like no one is listening heart suit love like you have never been hurt heavy check mark vote gop when no one is watching hear no evil monkey and do not listen to liberal s dirt,NOT,,
71446,the time is right for this house to respond to the concerns of all canadian s four out of five canadians support stronger gun control and with good reason gun control cdnpoli cdnhist,NOT,,
23958,besides jax s mom and may be ope he is hands down my favorite he is like the only good person on the show face with tears of joy,NOT,,
28195,gun control that is all these kids are asking for,OFF,TIN,OTH
56117,lol throwing the bullshit flag on such nonsense put up or shut up kavanaugh maga c all the vote already,OFF,TIN,IND
67757,you are correct,NOT,,
12681,kind of like when conservatives wanna associate everyone to their left as communist antifa members,OFF,TIN,GRP
82904,da fuck is going on people there is the men s room and the women s room pick one and stick w it thinking face,OFF,TIN,GRP
63236,been a willie fan since before most of you we are born love that he is holding a rally with beto exactly which fans are furious could you give some specific s,NOT,,
77665,tbh these days i just do not like people in general i just do not connect with people these days just a annoyance,OFF,TIN,IND
83484,south korean official leaders will discuss specific de nuke measures in pyongyang tcot maga rednationrising,NOT,,
74932,you can tell he is a hooper too,NOT,,
91252,i feel like he is better chasing the title,NOT,,
25440,she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and does not bash the m she has a positive message so who is dividing the left,OFF,UNT,
81613,glad to see your friends are supporting metis rights as much as you are supporting zionists,NOT,,
82333,yes you are but i was asking what is it about the movie man shrugging eyes,NOT,,
12609,the only thing the democrats have is lying and stalling to stop trump from being president what have they done for you lately trump kavanaugh maga demsuck,OFF,TIN,GRP
13017,no wonder he is being apologetic and more social these day,NOT,,
